ID,Gene,Annotation
NP_004623,DAP3,"Chr_19	AUGUSTUS	gene	11345577	11356143	.	-	.	ID=Marm_10698;blast_id=""sp|P51398|RT29_HUMAN"";interproscan_id=""IPR019368"";eggnog_id=""Death_associated_protein_3"""
NP_004640,GATD3A,"Chr_1	AUGUSTUS	gene	172582740	172589349	.	-	.	ID=Marm_03310;blast_id=""sp|A0A0B4J2D5|GAL3B_HUMAN"";interproscan_id=""IPR029062"";eggnog_id=""ES1_protein_homolog"""
NP_004709,COX7A2L,"Chr_1	AUGUSTUS	gene	25843979	25860097	.	+	.	ID=Marm_00272;blast_id=""sp|O14548|COX7R_HUMAN"";interproscan_id=""IPR017267"";eggnog_id=""mitochondrial_respiratory_chain_supercomplex_assembly"""
NP_004740,TBRG4,"Chr_10	AUGUSTUS	gene	1783456	1799899	.	-	.	ID=Marm_04730;blast_id=""sp|Q969Z0|FAKD4_HUMAN"";interproscan_id=""IPR013579"";eggnog_id=""mitochondrial_mRNA_processing"""
NP_004773,SNAP29,"Chr_17	AUGUSTUS	gene	4080431	4086501	.	-	.	ID=Marm_09449;blast_id=""sp|O95721|SNP29_HUMAN"";interproscan_id=""IPR000727"";eggnog_id=""autophagosome_membrane_docking"""
NP_004784,LONP1,"Chr_23	AUGUSTUS	gene	316607	325914	.	-	.	ID=Marm_16463;blast_id=""sp|P36776|LONM_HUMAN"";interproscan_id=""IPR027503"";eggnog_id=""ATP-dependent_serine_protease_that_mediates_the_selective_degradation_of_misfolded,_unassembled_or_oxidatively_damaged_polypeptides_as_well_as_certain_short-lived_regulatory_proteins_in_the_mitochondrial_matrix._May_also_have_a_chaperone_function_in_the_assembly_of_inner_membrane_protein_complexes._Participates_in_the_regulation_of_mitochondrial_gene_expression_and_in_the_maintenance_of_the_integrity_of_the_mitochondrial_genome._Binds_to_mitochondrial_promoters_and_RNA_in_a_single-_stranded,_site-specific,_and_strand-specific_manner._May_regulate_mitochondrial_DNA_replication_and_or_gene_expression_using_site-_specific,_single-stranded_DNA_binding_to_target_the_degradation_of_regulatory_proteins_binding_to_adjacent_sites_in_mitochondrial_promoters"""
NP_004854,SPTLC2,Chr_5	AUGUSTUS	gene	33682603	33723276	.	+	.	ID=Marm_22427;
NP_004882,MRPL33,"Chr_1	AUGUSTUS	gene	41224574	41228248	.	-	.	ID=Marm_02432;blast_id=""sp|O75394|RM33_HUMAN"";interproscan_id=""IPR038584"";eggnog_id=""ribosomal_protein_L33"""
NP_004885,ATP5MPL,"Chr_5	AUGUSTUS	gene	14928674	14946277	.	+	.	ID=Marm_22324;eggnog_id=""Mitochondrial_proteolipid"""
NP_004948,FPGS,"Chr_20	AUGUSTUS	gene	2504459	2522421	.	-	.	ID=Marm_15354;blast_id=""sp|Q05932|FOLC_HUMAN"";interproscan_id=""IPR001645"";eggnog_id=""tetrahydrofolylpolyglutamate_synthase_activity"""
NP_004960,IDE,Chr_4	AUGUSTUS	gene	34869986	34894758	.	+	.	ID=Marm_20813;
NP_004991,NDUFA5,"Chr_7	AUGUSTUS	gene	26536669	26542768	.	+	.	ID=Marm_25752;blast_id=""sp|Q16718|NDUA5_HUMAN"";interproscan_id=""IPR006806"";eggnog_id=""NADH_dehydrogenase_(ubiquinone)_1_alpha_subcomplex"""
NP_004992,NDUFA7,"Chr_23	AUGUSTUS	gene	2747542	2750538	.	+	.	ID=Marm_16351;blast_id=""sp|O95182|NDUA7_HUMAN"";interproscan_id=""IPR009947"";eggnog_id=""NADH:ubiquinone_oxidoreductase_subunit_B14.5a_(Complex_I-B14.5a)"""
NP_004993,NDUFA9,"Chr_8	AUGUSTUS	gene	51713	96386	.	+	.	ID=Marm_27019;blast_id=""sp|Q16795|NDUA9_HUMAN"";interproscan_id=""IPR036291"";eggnog_id=""NADH_dehydrogenase_ubiquinone_1_alpha_subcomplex"""
NP_004994,NDUFAB1,"Chr_18	AUGUSTUS	gene	17028150	17031445	.	-	.	ID=Marm_10172;blast_id=""sp|O14561|ACPM_HUMAN"";interproscan_id=""IPR003231"";eggnog_id=""Acyl_carrier_protein"""
NP_004995,NDUFB8,"Chr_4	AUGUSTUS	gene	1940879	1947804	.	-	.	ID=Marm_21368;blast_id=""sp|O95169|NDUB8_HUMAN"";interproscan_id=""IPR008699"";eggnog_id=""NADH_dehydrogenase_ubiquinone_1_beta_subcomplex_subunit_8"""
NP_004996,NDUFB9,"Chr_6	AUGUSTUS	gene	92731954	92740512	.	+	.	ID=Marm_24619;blast_id=""sp|Q9Y6M9|NDUB9_HUMAN"";interproscan_id=""IPR033034"";eggnog_id=""mitochondrial_electron_transport,_NADH_to_ubiquinone"""
NP_004997,NDUFS1,"Chr_11	AUGUSTUS	gene	32940655	32955241	.	+	.	ID=Marm_05498;blast_id=""sp|P28331|NDUS1_HUMAN"";interproscan_id=""IPR010228"";eggnog_id=""75_kDa_subunit"""
NP_005006,OXA1L,"Chr_3	AUGUSTUS	gene	169685868	169699284	.	+	.	ID=Marm_18510;blast_id=""sp|Q15070|OXA1L_HUMAN"";interproscan_id=""IPR001708"";eggnog_id=""Mitochondrial_inner_membrane_protein"""
NP_005026,POLRMT,"Chr_23	AUGUSTUS	gene	6433566	6461923	.	+	.	ID=Marm_16411;blast_id=""sp|O00411|RPOM_HUMAN"";interproscan_id=""IPR002092"";eggnog_id=""DNA-directed_RNA_polymerase,_mitochondrial"""
NP_005098,EXOG,"Chr_10	AUGUSTUS	gene	8696358	8724251	.	-	.	ID=Marm_04812;blast_id=""sp|Q9Y2C4|EXOG_HUMAN"";interproscan_id=""IPR040255"";eggnog_id=""5'-3'_exonuclease_activity"""
NP_005138,DNAJA3,"Chr_18	AUGUSTUS	gene	354100	361144	.	-	.	ID=Marm_09937;blast_id=""sp|Q96EY1|DNJA3_HUMAN"";interproscan_id=""IPR012724"";eggnog_id=""homolog_subfamily_A_member_3"""
NP_005155,ABCD2,"Chr_7	AUGUSTUS	gene	17751712	17758866	.	+	.	ID=Marm_25700;blast_id=""sp|Q9UBJ2|ABCD2_HUMAN"";interproscan_id=""IPR031239"";eggnog_id=""ATP-binding_cassette_sub-family_D"""
NP_005165,ATP5F1C,"Chr_7	AUGUSTUS	gene	86377736	86391425	.	-	.	ID=Marm_26904;blast_id=""sp|P36542|ATPG_HUMAN"";interproscan_id=""IPR000131"";eggnog_id=""ATP_synthase,_H_transporting,_mitochondrial_F1_complex,_gamma_polypeptide_1"""
NP_005166,ATP5MC1,"Chr_6	AUGUSTUS	gene	30121662	30238108	.	+	.	ID=Marm_24169;blast_id=""sp|P15822|ZEP1_HUMAN"";interproscan_id=""IPR036236"";eggnog_id=""negative_regulation_of_transcription,_DNA-templated"""
NP_005167,ATP5MC2,"Chr_6	AUGUSTUS	gene	30121662	30238108	.	+	.	ID=Marm_24169;blast_id=""sp|P15822|ZEP1_HUMAN"";interproscan_id=""IPR036236"";eggnog_id=""negative_regulation_of_transcription,_DNA-templated"""
NP_005196,COX6A2,"Chr_17	AUGUSTUS	gene	10949270	10951786	.	+	.	ID=Marm_09269;blast_id=""sp|P12074|CX6A1_HUMAN"";interproscan_id=""IPR001349"";eggnog_id=""oxidoreductase_activity,_acting_on_a_heme_group_of_donors,_oxygen_as_acceptor"""
NP_005253,GFER,"Chr_18	AUGUSTUS	gene	15937786	15946783	.	+	.	ID=Marm_09875;blast_id=""sp|P55789|ALR_HUMAN"";interproscan_id=""IPR039799"";eggnog_id=""growth_factor,_augmenter_of_liver_regeneration"""
NP_005262,GLUD1,"Chr_4	AUGUSTUS	gene	14657465	14686356	.	+	.	ID=Marm_20662;blast_id=""sp|P00367|DHE3_HUMAN"";interproscan_id=""IPR036291"";eggnog_id=""glutamate_dehydrogenase_[NAD(P)+]_activity"""
NP_005317,HAGH,"Chr_18	AUGUSTUS	gene	15635031	15646886	.	+	.	ID=Marm_09869;blast_id=""sp|Q6PII5|HAGHL_HUMAN"";interproscan_id=""IPR036866"";eggnog_id=""Hydroxyacylglutathione_hydrolase-like"""
NP_005318,HADH,"Chr_4	AUGUSTUS	gene	68119195	68149599	.	-	.	ID=Marm_21804;blast_id=""sp|Q08426|ECHP_HUMAN"";interproscan_id=""IPR029045"";eggnog_id=""dodecenoyl-CoA_delta-isomerase_activity"""
NP_005324,HCCS,"Chr_3	AUGUSTUS	gene	97565065	97581387	.	-	.	ID=Marm_19427;blast_id=""sp|P53701|CCHL_HUMAN"";interproscan_id=""IPR000511"";eggnog_id=""Links_covalently_the_heme_group_to_the_apoprotein_of_cytochrome_c"""
NP_005331,HINT1,"Chr_9	AUGUSTUS	gene	60143844	60152673	.	-	.	ID=Marm_29366;blast_id=""sp|P49773|HINT1_HUMAN"";interproscan_id=""IPR011146"";eggnog_id=""purine_ribonucleotide_catabolic_process"""
NP_005381,PDHA2,"Chr_1	AUGUSTUS	gene	208991140	209010757	.	+	.	ID=Marm_01543;blast_id=""sp|P08559|ODPA_HUMAN"";interproscan_id=""IPR029061"";eggnog_id=""pyruvate_dehydrogenase_(acetyl-transferring)_activity"""
NP_005382,PDK3,"Chr_1	AUGUSTUS	gene	211162138	211214669	.	+	.	ID=Marm_01561;blast_id=""sp|Q15120|PDK3_HUMAN"";interproscan_id=""IPR039028"";eggnog_id=""pyruvate_dehydrogenase_kinase,_isozyme_3"""
NP_005403,SHMT2,"Chr_2	AUGUSTUS	gene	159761198	159783212	.	+	.	ID=Marm_12550;blast_id=""sp|P34897|GLYM_HUMAN"";interproscan_id=""IPR001085"";eggnog_id=""Serine_hydroxymethyltransferase"""
NP_005509,HMGCS2,"Chr_3	AUGUSTUS	gene	121633898	121661319	.	+	.	ID=Marm_17725;blast_id=""sp|P54868|HMCS2_HUMAN"";interproscan_id=""IPR016039"";eggnog_id=""hydroxymethylglutaryl-CoA_synthase_activity"""
NP_005519,DNAJC4,"Chr_19	AUGUSTUS	gene	12765638	12779794	.	-	.	ID=Marm_10736;blast_id=""sp|Q9NNZ3|DNJC4_HUMAN"";interproscan_id=""IPR036869"";eggnog_id=""DnaJ_molecular_chaperone_homology_domain"""
NP_005521,IDH3A,"Chr_16	AUGUSTUS	gene	5502706	5511582	.	+	.	ID=Marm_08690;blast_id=""sp|P50213|IDH3A_HUMAN"";interproscan_id=""IPR004434"";eggnog_id=""isocitrate_dehydrogenase_NAD_subunit"""
NP_005523,IFI27,"Chr_13	AUGUSTUS	gene	1722010	1776335	.	+	.	ID=Marm_06708;blast_id=""sp|Q3KQU3|MA7D1_HUMAN"";interproscan_id=""IPR008604"";eggnog_id=""MAP7_domain-containing_protein"""
NP_005539,KARS1,"Chr_14	AUGUSTUS	gene	24403808	24411438	.	-	.	ID=Marm_08083;blast_id=""sp|Q15046|SYK_HUMAN"";interproscan_id=""IPR034762"";eggnog_id=""lysyl-tRNA_synthetase"""
NP_005580,ALDH6A1,"Chr_5	AUGUSTUS	gene	36957707	36973341	.	+	.	ID=Marm_22463;blast_id=""sp|Q02252|MMSA_HUMAN"";interproscan_id=""IPR010061"";eggnog_id=""beta-alanine_catabolic_process"""
NP_005591,NIT1,"Chr_19	AUGUSTUS	gene	7301786	7306021	.	-	.	ID=Marm_10617;blast_id=""sp|Q86X76|NIT1_HUMAN"";interproscan_id=""IPR036526"";eggnog_id=""hydrolase_activity"""
NP_005613,ACSM3,"Chr_18	AUGUSTUS	gene	13108073	13142460	.	+	.	ID=Marm_09842;blast_id=""sp|P0C7M7|ACSM4_HUMAN"";interproscan_id=""IPR042099"";eggnog_id=""Acyl-coenzyme_A_synthetase_ACSM4,_mitochondrial-like"""
NP_005653,VDAC3,"Chr_12	AUGUSTUS	gene	6428615	6442801	.	-	.	ID=Marm_06478;blast_id=""sp|Q9Y277|VDAC3_HUMAN"";interproscan_id=""IPR023614"";eggnog_id=""Voltage-dependent_anion-selective_channel_protein"""
NP_005680,ABCB6,"Chr_5	AUGUSTUS	gene	109445896	109483407	.	+	.	ID=Marm_23007;blast_id=""sp|Q9NP58|ABCB6_HUMAN"";interproscan_id=""IPR032410"";eggnog_id=""aTP-binding_cassette,_sub-family_B"""
NP_005681,DNM1L,Chr_7	AUGUSTUS	gene	72938093	72957361	.	-	.	ID=Marm_26819;
NP_005685,COX17,"Chr_2	AUGUSTUS	gene	167435786	167440290	.	+	.	ID=Marm_12658;blast_id=""sp|Q14061|COX17_HUMAN"";interproscan_id=""IPR009069"";eggnog_id=""cytochrome_c_oxidase_copper"""
NP_005693,ERAL1,"Chr_21	AUGUSTUS	gene	705915	711562	.	-	.	ID=Marm_15747;blast_id=""sp|O75616|ERAL1_HUMAN"";interproscan_id=""IPR005662"";eggnog_id=""AIG1_family"""
NP_005717,TSFM,"Chr_2	AUGUSTUS	gene	151270976	151279377	.	+	.	ID=Marm_12464;blast_id=""sp|P43897|EFTS_HUMAN"";interproscan_id=""IPR001816"";eggnog_id=""translation_elongation_factor_activity"""
NP_005720,PPIF,"Chr_19	AUGUSTUS	gene	8503282	8529756	.	+	.	ID=Marm_10346;blast_id=""sp|Q86VI3|IQGA3_HUMAN"";interproscan_id=""IPR008936"";eggnog_id=""RasGAP_C-terminus"""
NP_005754,AASS,"Chr_7	AUGUSTUS	gene	27281420	27321644	.	+	.	ID=Marm_25763;blast_id=""sp|Q9UDR5|AASS_HUMAN"";interproscan_id=""IPR032095"";eggnog_id=""saccharopine_dehydrogenase_(NADP+,_L-lysine-forming)_activity"""
NP_005784,NME6,"Chr_7	AUGUSTUS	gene	93004083	93029481	.	-	.	ID=Marm_27001;blast_id=""sp|O75414|NDK6_HUMAN"";interproscan_id=""IPR037994"";eggnog_id=""Nucleoside_diphosphate_kinase"""
NP_005785,DHRS2,"Chr_3	AUGUSTUS	gene	170506519	170530024	.	-	.	ID=Marm_20429;blast_id=""sp|Q9BTZ2|DHRS4_HUMAN"";interproscan_id=""IPR029511"";eggnog_id=""Dehydrogenase_reductase_SDR_family_member"""
NP_005800,PRDX2,"Chr_2	AUGUSTUS	gene	109724641	109734488	.	+	.	ID=Marm_12052;blast_id=""sp|P32119|PRDX2_HUMAN"";interproscan_id=""IPR036249"";eggnog_id=""Thiol-specific_peroxidase_that_catalyzes_the_reduction_of_hydrogen_peroxide_and_organic_hydroperoxides_to_water_and_alcohols,_respectively._Plays_a_role_in_cell_protection_against_oxidative_stress_by_detoxifying_peroxides_and_as_sensor_of_hydrogen_peroxide-mediated_signaling_events._Might_participate_in_the_signaling_cascades_of_growth_factors_and_tumor_necrosis_factor-alpha_by_regulating_the_intracellular_concentrations_of_H(2)O(2)"""
NP_005821,MRPS31,"Chr_1	AUGUSTUS	gene	138140769	138151812	.	+	.	ID=Marm_01094;blast_id=""sp|Q92665|RT31_HUMAN"";interproscan_id=""IPR026299"";eggnog_id=""structural_constituent_of_ribosome"""
NP_005825,TIMM17B,"Chr_2	AUGUSTUS	gene	164836513	164844245	.	+	.	ID=Marm_12620;blast_id=""sp|O60830|TI17B_HUMAN"";interproscan_id=""PTHR10485:SF2"";eggnog_id=""P-P-bond-hydrolysis-driven_protein_transmembrane_transporter_activity"""
NP_005827,RIDA,"Chr_6	AUGUSTUS	gene	80193142	80207916	.	-	.	ID=Marm_25323;blast_id=""sp|P52758|RIDA_HUMAN"";interproscan_id=""IPR035959"";eggnog_id=""Reactive_intermediate_imine_deaminase_A_homolog"""
NP_005829,GLYAT,"Chr_5	AUGUSTUS	gene	106350774	106389329	.	+	.	ID=Marm_22964;blast_id=""sp|Q5SZD4|GLYL3_HUMAN"";interproscan_id=""IPR015938"";eggnog_id=""Reverse_transcriptase_(RNA-dependent_DNA_polymerase)"""
NP_005872,BCKDK,"Chr_3	AUGUSTUS	gene	161051775	161072762	.	-	.	ID=Marm_20214;blast_id=""sp|O14874|BCKD_HUMAN"";interproscan_id=""IPR039028"";eggnog_id=""[3-methyl-2-oxobutanoate_dehydrogenase_(acetyl-transferring)]_kinase_activity"""
NP_005879,SLC25A3,"Chr_3	AUGUSTUS	gene	92988458	92989657	.	+	.	ID=Marm_17493;blast_id=""sp|Q00325|MPCP_HUMAN"";interproscan_id=""IPR044677"";eggnog_id=""Belongs_to_the_mitochondrial_carrier_(TC_2.A.29)_family"""
NP_005890,NBR1,"Chr_3	AUGUSTUS	gene	128217647	128264385	.	-	.	ID=Marm_19713;blast_id=""sp|Q14596|NBR1_HUMAN"";interproscan_id=""IPR033513"";eggnog_id=""brca1_gene_1"""
NP_005923,MIPEP,"Chr_1	AUGUSTUS	gene	263727406	263795474	.	+	.	ID=Marm_01851;blast_id=""sp|Q99797|MIPEP_HUMAN"";interproscan_id=""IPR045090"";eggnog_id=""protein_processing_involved_in_protein_targeting_to_mitochondrion"""
NP_005934,MOCS1,"Chr_1	AUGUSTUS	gene	43231904	43271800	.	+	.	ID=Marm_00392;blast_id=""sp|Q9NZB8|MOCS1_HUMAN"";interproscan_id=""IPR007197"";eggnog_id=""molybdenum_cofactor"""
NP_005975,SLC25A1,Chr_17	AUGUSTUS	gene	3953742	3966710	.	-	.	ID=Marm_09446;
NP_005994,UQCRFS1,"Chr_14	AUGUSTUS	gene	12865563	12870769	.	+	.	ID=Marm_07701;blast_id=""sp|P47985|UCRI_HUMAN"";interproscan_id=""IPR014349"";eggnog_id=""ubiquinol-cytochrome-c_reductase_activity"""
NP_005995,UQCRH,"Chr_3	AUGUSTUS	gene	67907055	67911830	.	+	.	ID=Marm_17307;blast_id=""sp|P07919|QCR6_HUMAN"";interproscan_id=""IPR003422"";eggnog_id=""This_is_a_component_of_the_ubiquinol-cytochrome_c_reductase_complex_(complex_III_or_cytochrome_b-c1_complex),_which_is_part_of_the_mitochondrial_respiratory_chain._This_protein_may_mediate_formation_of_the_complex_between_cytochromes_c_and_c1"""
NP_006011,ALKBH1,Chr_5	AUGUSTUS	gene	33655476	33658289	.	+	.	ID=Marm_22425;
NP_006027,PREPL,"Chr_1	AUGUSTUS	gene	23581186	23624145	.	+	.	ID=Marm_00255;blast_id=""sp|Q4J6C6|PPCEL_HUMAN"";interproscan_id=""IPR029058"";eggnog_id=""serine-type_exopeptidase_activity"""
NP_006068,MICU1,"Chr_4	AUGUSTUS	gene	21599279	21739847	.	-	.	ID=Marm_21491;blast_id=""sp|Q9BPX6|MICU1_HUMAN"";interproscan_id=""IPR039800"";eggnog_id=""positive_regulation_of_mitochondrial_calcium_ion_concentration"""
NP_006102,ACAA2,"Chr_9	AUGUSTUS	gene	11045437	11065248	.	-	.	ID=Marm_29044;blast_id=""sp|P42765|THIM_HUMAN"";interproscan_id=""IPR016039"";eggnog_id=""negative_regulation_of_mitochondrial_membrane_permeability_involved_in_apoptotic_process"""
NP_006105,TOMM40,"Chr_13	AUGUSTUS	gene	22867787	22882546	.	+	.	ID=Marm_07002;blast_id=""sp|O96008|TOM40_HUMAN"";interproscan_id=""IPR037930"";eggnog_id=""preprotein_binding"""
NP_006108,ECI2,"Chr_6	AUGUSTUS	gene	25945127	26022962	.	-	.	ID=Marm_24936;blast_id=""sp|O75521|ECI2_HUMAN"";interproscan_id=""IPR001753"";eggnog_id=""enoyl-CoA_delta_isomerase_2"""
NP_006205,PHYH,"Chr_7	AUGUSTUS	gene	9594228	9655396	.	+	.	ID=Marm_25639;blast_id=""sp|O14832|PAHX_HUMAN"";interproscan_id=""IPR008775"";eggnog_id=""Phytanoyl-CoA"""
NP_006318,TIMM23,"Chr_4	AUGUSTUS	gene	14464951	14478955	.	+	.	ID=Marm_20659;blast_id=""sp|O14925|TIM23_HUMAN"";interproscan_id=""IPR005681"";eggnog_id=""P-P-bond-hydrolysis-driven_protein_transmembrane_transporter_activity"""
NP_006321,LYPLA1,Chr_6	AUGUSTUS	gene	61100873	61109621	.	-	.	ID=Marm_25179;
NP_006326,TIMM17A,"Chr_3	AUGUSTUS	gene	39586893	39598437	.	+	.	ID=Marm_17011;blast_id=""sp|Q99595|TI17A_HUMAN"";interproscan_id=""IPR005678"";eggnog_id=""Translocase_of_inner_mitochondrial_membrane_17_homolog_A_(yeast)"""
NP_006336,SLC30A9,"Chr_8	AUGUSTUS	gene	16836638	16877830	.	+	.	ID=Marm_27144;blast_id=""sp|Q6PML9|ZNT9_HUMAN"";interproscan_id=""IPR040177"";eggnog_id=""cellular_zinc_ion_homeostasis"""
NP_006342,TIMM44,"Chr_23	AUGUSTUS	gene	2317341	2326317	.	-	.	ID=Marm_16537;blast_id=""sp|O43615|TIM44_HUMAN"";interproscan_id=""IPR007379"";eggnog_id=""protein_import_into_mitochondrial_matrix"""
NP_006347,ATP5PD,"Chr_2	AUGUSTUS	gene	123995023	124005592	.	+	.	ID=Marm_12184;blast_id=""sp|O75947|ATP5H_HUMAN"";interproscan_id=""IPR008689"";eggnog_id=""Mitochondrial_membrane_ATP_synthase_(F(1)F(0)_ATP_synthase_or_Complex_V)_produces_ATP_from_ADP_in_the_presence_of_a_proton_gradient_across_the_membrane_which_is_generated_by_electron_transport_complexes_of_the_respiratory_chain._F-type_ATPases_consist_of_two_structural_domains,_F(1)_-_containing_the_extramembraneous_catalytic_core,_and_F(0)_-_containing_the_membrane_proton_channel,_linked_together_by_a_central_stalk_and_a_peripheral_stalk._During_catalysis,_ATP_synthesis_in_the_catalytic_domain_of_F(1)_is_coupled_via_a_rotary_mechanism_of_the_central_stalk_subunits_to_proton_translocation._Part_of_the_complex_F(0)_domain_and_the_peripheric_stalk,_which_acts_as_a_stator_to_hold_the_catalytic_alpha(3)beta(3)_subcomplex_and_subunit_a_ATP6_static_relative_to_the_rotary_elements"""
NP_006397,PRDX4,"Chr_8	AUGUSTUS	gene	67444577	67595264	.	-	.	ID=Marm_28088;blast_id=""sp|Q96HC4|PDLI5_HUMAN"";interproscan_id=""IPR001478"";eggnog_id=""PDZ_and_LIM_domain"""
NP_006401,HTATIP2,Chr_2	AUGUSTUS	gene	159088979	159101097	.	-	.	ID=Marm_14645;
NP_006419,MRPL28,"Chr_18	AUGUSTUS	gene	626551	628690	.	+	.	ID=Marm_09675;blast_id=""sp|Q13084|RM28_HUMAN"";interproscan_id=""IPR026569"";eggnog_id=""ribosomal_protein_L28"""
NP_006431,TXNRD2,"Chr_7	AUGUSTUS	gene	67298303	67372920	.	-	.	ID=Marm_26786;blast_id=""sp|Q16881|TRXR1_HUMAN"";interproscan_id=""IPR006338"";eggnog_id=""Thioredoxin_reductase_1"""
NP_006432,MTHFS,"Chr_16	AUGUSTUS	gene	15954290	15976753	.	+	.	ID=Marm_08795;blast_id=""sp|P49914|MTHFS_HUMAN"";interproscan_id=""IPR024185"";eggnog_id=""5-formyltetrahydrofolate_cyclo-ligase_family"""
NP_006443,PAICS,Chr_8	AUGUSTUS	gene	21841723	21887263	.	+	.	ID=Marm_27186;
NP_006467,ATP5MG,"Chr_12	AUGUSTUS	gene	13011833	13067469	.	+	.	ID=Marm_06239;blast_id=""sp|Q03164|KMT2A_HUMAN"";interproscan_id=""IPR037927"";eggnog_id=""Histone-lysine"""
NP_006529,BCL2L11,"Chr_1	AUGUSTUS	gene	18650665	18676824	.	+	.	ID=Marm_00205;blast_id=""sp|O43521|B2L11_HUMAN"";interproscan_id=""IPR015040"";eggnog_id=""positive_regulation_of_apoptotic_process_by_virus"""
NP_006544,PRELID3A,"Chr_6	AUGUSTUS	gene	46364384	46382202	.	-	.	ID=Marm_25079;blast_id=""sp|Q96N28|PLD3A_HUMAN"";interproscan_id=""IPR037365"";eggnog_id=""slowmo_homolog_1"""
NP_006545,MTX2,Chr_11	AUGUSTUS	gene	48138274	48144319	.	-	.	ID=Marm_05990;
NP_006558,FARS2,"Chr_6	AUGUSTUS	gene	26549536	26577704	.	+	.	ID=Marm_24137;blast_id=""sp|O95363|SYFM_HUMAN"";interproscan_id=""IPR004530"";eggnog_id=""phenylalanyl-tRNA_synthetase"""
NP_006612,AHCYL1,"Chr_3	AUGUSTUS	gene	62381611	62447319	.	+	.	ID=Marm_17241;blast_id=""sp|O43865|SAHH2_HUMAN"";interproscan_id=""IPR000043"";eggnog_id=""adenosylhomocysteinase"""
NP_006627,MTHFD2,"Chr_12	AUGUSTUS	gene	742450	747338	.	+	.	ID=Marm_06110;blast_id=""sp|P13995|MTDC_HUMAN"";interproscan_id=""IPR000672"";eggnog_id=""methylenetetrahydrofolate_dehydrogenase"""
NP_006651,CLPX,"Chr_16	AUGUSTUS	gene	22050521	22070462	.	+	.	ID=Marm_08842;blast_id=""sp|O76031|CLPX_HUMAN"";interproscan_id=""IPR027417"";eggnog_id=""ATP-dependent_peptidase_activity"""
NP_006671,ME3,"Chr_1	AUGUSTUS	gene	105770396	105815884	.	+	.	ID=Marm_00850;blast_id=""sp|Q16798|MAON_HUMAN"";interproscan_id=""IPR001891"";eggnog_id=""malic_enzyme"""
NP_006703,FASTK,"Chr_10	AUGUSTUS	gene	340105	346999	.	+	.	ID=Marm_04094;blast_id=""sp|Q14296|FASTK_HUMAN"";interproscan_id=""IPR015715"";eggnog_id=""serine_threonine_kinase"""
NP_006784,PRDX3,"Chr_4	AUGUSTUS	gene	48578874	48594443	.	+	.	ID=Marm_20869;blast_id=""sp|P30048|PRDX3_HUMAN"";interproscan_id=""IPR036249"";eggnog_id=""Thioredoxin-dependent_peroxide_reductase,_mitochondrial"""
NP_006787,AFG3L2,"Chr_6	AUGUSTUS	gene	46385791	46409498	.	+	.	ID=Marm_24272;blast_id=""sp|Q9Y4W6|AFG32_HUMAN"";interproscan_id=""IPR005936"";eggnog_id=""mitochondrial_protein_processing"""
NP_006800,TOMM34,"Chr_3	AUGUSTUS	gene	27612240	27622887	.	-	.	ID=Marm_18885;blast_id=""sp|Q15785|TOM34_HUMAN"";interproscan_id=""IPR011990"";eggnog_id=""protein_targeting_to_mitochondrion"""
NP_006812,ACOT2,"Chr_5	AUGUSTUS	gene	54650116	54663531	.	-	.	ID=Marm_23448;blast_id=""sp|P49753|ACOT2_HUMAN"";interproscan_id=""IPR029058"";eggnog_id=""BAAT_/_Acyl-CoA_thioester_hydrolase_C_terminal"""
NP_006821,UQCR11,Chr_23	AUGUSTUS	gene	1002830	1006727	.	-	.	ID=Marm_16491;
NP_006830,IMMT,"Chr_3	AUGUSTUS	gene	130496779	130520620	.	-	.	ID=Marm_19740;blast_id=""sp|Q16891|MIC60_HUMAN"";interproscan_id=""IPR019133"";eggnog_id=""cristae_formation"""
NP_006850,LIAS,"Chr_8	AUGUSTUS	gene	15608780	15620668	.	-	.	ID=Marm_27760;blast_id=""sp|O43766|LIAS_HUMAN"";interproscan_id=""IPR003698"";eggnog_id=""GO:0070283"""
NP_006853,TDRKH,"Chr_19	AUGUSTUS	gene	2134006	2147150	.	+	.	ID=Marm_10233;blast_id=""sp|Q9Y2W6|TDRKH_HUMAN"";interproscan_id=""IPR035437"";eggnog_id=""DNA_methylation_involved_in_gamete_generation"""
NP_008817,ATP5F1E,"Chr_3	AUGUSTUS	gene	5804559	5853883	.	-	.	ID=Marm_18707;blast_id=""sp|Q86UZ6|ZBT46_HUMAN"";interproscan_id=""IPR011333"";eggnog_id=""zinc_finger_and_BTB"""
NP_008830,IDH3B,"Chr_8	AUGUSTUS	gene	87352230	87364539	.	+	.	ID=Marm_27634;blast_id=""sp|O43837|IDH3B_HUMAN"";interproscan_id=""IPR004434"";eggnog_id=""Isocitrate_dehydrogenase_NAD_subunit"""
NP_008834,PPA2,"Chr_8	AUGUSTUS	gene	62527586	62558714	.	+	.	ID=Marm_27425;blast_id=""sp|Q9H2U2|IPYR2_HUMAN"";interproscan_id=""IPR036649"";eggnog_id=""Pyrophosphatase_(inorganic)_2"""
NP_008838,PYCR1,"Chr_2	AUGUSTUS	gene	127603674	127614987	.	+	.	ID=Marm_12230;blast_id=""sp|P32322|P5CR1_HUMAN"";interproscan_id=""IPR000304"";eggnog_id=""Pyrroline-5-carboxylate_reductase"""
